Assignee,Prompt,Verification,Function Written,Proved Solvable,Notes,,,
Anthony,"On the 'Project Guidelines & Best Practices' page, find all callout blocks with yellow_background (💡 tips). For each one found, add a new to-do block immediately after it with unchecked status and text '📝 Review and apply: [first 30 characters of the callout text]...'. Then, at the very beginning of the page after the heading_1, add a new callout with gray_background and 📊 icon containing: a bold paragraph 'Quick Stats' followed by a bulleted list with '• Total Guidelines: [count of all callouts]', '• Tips to Review: [count of yellow callouts]', '• Critical Warnings: [count of red callouts]'. Finally, add a divider at the end of the page.",Check that each yellow callout is followed by an unchecked to-do with exact format. Verify gray callout appears after heading_1 with bold 'Quick Stats' and correct counts. Confirm divider exists at the end of the page.,✅,❌,nested blocks in callout,add-guidelines-review-todos-v2,,
Anthony,"Navigate to the 'API Documentation' page and implement version tracking. After the main heading, insert heading_2 '📚 API Version History'. Add a callout with orange_background and ⚡ icon containing bold text 'Current Version: v2.3.1'. Below this, add heading_3 'v2.3.1 - Latest Release' with a bulleted list: '• Released: January 15, 2024', '• Breaking Changes: None', '• New Endpoints: /users/batch, /analytics/custom'. Add heading_3 'v2.2.0 - Previous Stable' with similar structure. Then analyze the page for any existing heading blocks containing 'endpoint' or 'method' (case-insensitive) and create a heading_2 '🔍 Quick Reference' with a numbered list entry for each found heading: '[X]. [heading text] - [block type]'. End with a divider and paragraph with italic text 'Auto-generated index on [today's date]'.",Check heading_2 'API Version History' after main heading. Verify orange callout with current version. Confirm two version subsections with bullet points. Verify Quick Reference section lists all headings containing endpoint/method. Check final italic paragraph.,✅,✅,,add-api-version-tracking-v2,,
Anthony,"Create a new 'Engineering Metrics Report' page as a child of 'Engineering Wiki'. Analyze the 'Bug Tracker', 'Feature Requests', and 'Sprint Planning - Jan 15' pages. Structure the report: heading_1 '⚙️ Engineering Metrics Report', heading_2 '🐛 Bug Status Overview' with a paragraph 'Total bugs tracked: [X]' and 'Resolution rate: [Y]%' where X is total todo count in Bug Tracker and Y is percentage of checked todos. Add heading_2 '✨ Feature Pipeline' with similar metrics from Feature Requests. Finally, heading_2 '📅 Sprint Health' showing 'Latest sprint completion: [Z]%' from Sprint Planning page. End with a callout (gray background) summarizing: 'Overall engineering health score: [average of all three percentages]%'.","Verify page hierarchy, exact heading structure with emojis, accurate todo counts and percentages from all three source pages, correct average calculation in final callout with gray background.",✅,✅,,create-engineering-metrics-report-v2,,
Anthony,"Navigate to the 'Comprehensive Product Requirements Document' page. Locate the section titled 'Overview - Part 2'. Insert a new 'Risk Assessment' subsection immediately AFTER all the bullet points under 'Overview - Part 2' but BEFORE 'Overview - Part 3'. Add a heading_3 '⚠️ Risk Assessment' with Red color property. Under this, create a two-column layout: Left column titled 'Technical Risks' (bold), right column titled 'Business Risks' (bold). In the Technical Risks column, add a numbered list: '1. Integration complexity with legacy systems', '2. Scalability concerns at 10M+ users', '3. Data migration timeline dependencies'. In the Business Risks column, add a numbered list: '1. Market timing vs competitor launches', '2. Regulatory compliance in EU markets', '3. Resource allocation conflicts'. After the columns, add a callout (Yellow background) with heading 'Mitigation Priority' and text 'Focus on items 1 and 3 in Technical, item 2 in Business for Q1 2024'.",The Risk Assessment section must be inserted exactly after the last bullet point of 'Overview - Part 2' and before 'Overview - Part 3' heading. The heading must have Red color. The two-column layout must have the exact titles in bold. Each column must contain exactly 3 numbered items with the specified text. The Yellow callout must appear after the columns with exact heading and priority text.,✅,❌,two-column,insert-risk-assessment-section-v2,,
Anthony,"Create a new 'Documentation Hierarchy Report' page as a child of 'Project Documentation'. Fetch the Project Documentation page and all its descendants (Architecture and sub-pages). Build a comprehensive report with: heading_1 '📚 Documentation Structure Analysis', then a code block of type 'text' showing the hierarchy tree using exact format: 'Project Documentation └─ Architecture ├─ Frontend Architecture │ ├─ Component Library │ └─ State Management └─ Backend Architecture └─ API Design Patterns'. Below add heading_2 '📊 Page Metrics' with a table-like structure using paragraphs: 'Total pages in hierarchy: [COUNT]', 'Deepest nesting level: 3', 'Pages marked as favorite: [list page titles]'.","Report exists under Project Documentation, contains code block with exact ASCII tree structure matching the hierarchy, and metrics section with correct counts and favorite pages listed.",✅,❌,mcp doesnt work with the hierachy structure,create-documentation-hierarchy-report-v2,,
Anthony,"On the 'Onboarding Guide' page, insert new content between the 'First Day Tasks' section and the numbered list that follows it. Add a callout block with green_background and '🎉' icon containing text 'Welcome aboard! Your first day is crucial for setting the right foundation.' Then add a paragraph with text 'Before diving into tasks, ensure you have:' followed by a bulletedList with exactly these items: '• Access to all necessary systems', '• Your workspace properly configured', '• Emergency contact information saved'. The formatting must match the existing numbered list style but use bullets instead.",The green callout must be positioned exactly after 'First Day Tasks' heading but before the numbered list. The bullet list must contain the three specified items in exact order. All formatting must be consistent with existing content.,✅,✅,,insert-content-in-onboarding-guide-v2,,
Anthony,"Navigate to the 'Engineering Wiki' page and locate the 'Tech Stack' section. Insert a new heading3 block with text 'Infrastructure' immediately AFTER the last bulletedList block under 'Tech Stack' (after 'Database: MongoDB') but BEFORE the 'Development Setup' heading2. Under this new 'Infrastructure' heading, add exactly three bulletedList blocks with the following texts in order: 'Cloud Provider: AWS', 'Container Orchestration: Kubernetes', and 'CI/CD: GitHub Actions'. Then, at the very end of the page (after the last paragraph about .env values), add a divider block followed by a callout block with green_background, icon '✅', and content 'Remember: All infrastructure changes must be reviewed by the DevOps team before deployment.'","The 'Engineering Wiki' page must have a new heading3 'Infrastructure' positioned after the 'Database: MongoDB' bullet point and before 'Development Setup' heading. Three bullet points must appear under 'Infrastructure' with exact texts 'Cloud Provider: AWS', 'Container Orchestration: Kubernetes', 'CI/CD: GitHub Actions' in that order. A divider must appear after 'Copy .env.example to .env and fill in your values.' paragraph, followed by a green callout with checkmark icon containing the exact text about DevOps team review.",✅,✅,,insert-infrastructure-section-v2,,
Anthony,"Perform a comprehensive reorganization of the 'Product Specs' page. Start by adding heading1 '📐 Product Specification Document v2.0'. Add heading2 '⚠️ Specification Status' with a callout using red_background, icon '🔴', containing 'DRAFT - Pending review by Product Council'. Create heading2 '🎯 Core Features' with subheadings using heading3: '🔐 Authentication & Security', '📊 Analytics Dashboard', and '🔗 Integration APIs'. Under Authentication, add a code block with 'interface AuthConfig { provider: OAuth2 | SAML | LDAP; mfa: boolean; sessionTimeout: number; }' with language 'typescript'. Under Analytics, add a bulletedList: 'Real-time data visualization', 'Custom report builder', 'Automated insights with ML'. Under Integration, add a numberedList: '1. REST API v2', '2. GraphQL endpoint', '3. Webhook subscriptions'. Finally, add the Team Directory's team photo image at the bottom with caption 'Product team collaborative session - January 2024'.","Page starts with v2.0 specification header. Red draft callout appears under status section. Three core features sections contain exact specified content: TypeScript interface, bulleted analytics features, and numbered API list. Team photo from Team Directory appears at end with January 2024 caption.",✅,✅,,reorganize-product-specs-page-v2,,
Anthony,"Navigate to 'Engineering Wiki' page. First, create three new child pages: 'Backend Best Practices' with 🔧 icon, 'Frontend Standards' with 🎨 icon, and 'Testing Guidelines' with 🧪 icon. In each new page, add a heading_1 with the page title, then a heading_2 '📋 Checklist' followed by exactly 3 unchecked todo blocks. For Backend: 'Use dependency injection', 'Implement circuit breakers', 'Add comprehensive logging'. For Frontend: 'Follow component composition patterns', 'Implement error boundaries', 'Use semantic HTML'. For Testing: 'Maintain 80% code coverage', 'Write integration tests for APIs', 'Use snapshot testing for UI components'.","Verify three child pages created under Engineering Wiki with correct icons. Check each page has heading_1 matching title, heading_2 '📋 Checklist', and exactly 3 unchecked todos with specified text. Confirm page hierarchy and all formatting is correct.",✅,✅,,create-three-child-pages-under-engineering-wiki-v2,,
Anthony,"On the 'Comprehensive Product Requirements Document' page: First, swap the positions of the 'Overview' and 'User Stories' sections entirely, maintaining all sub-sections and content within each. Then within the 'Overview' section (now in its new position), add a new heading_3 'Overview - Critical Updates' immediately after 'Overview - Part 3' but before the start of what was originally the 'User Stories' content. Under this new heading, add a callout with red_background, icon '🚨', containing exact text 'IMPORTANT: All requirements in this section have been approved by stakeholders as of [today's date]'. Finally, at the very beginning of the page (after the main title but before any other content), insert a quote block with text 'Excellence in documentation leads to excellence in execution.'",The 'User Stories' section appears before 'Overview' section with all content preserved. New 'Overview - Critical Updates' heading_3 appears after 'Overview - Part 3'. Red callout with alert icon contains exact text with current date. Quote block appears at the beginning after main title.,✅,✅,,swap-overview-and-user-stories-sections-v2,,
Anthony,"Navigate to 'Design System' page (with icon 🎨). First, move all existing child pages ('Color Palette', 'Typography', 'Components') to a new sub-page called '📦 Core Design Assets'. Then in the main Design System page, add heading_1 '🎨 Design System Hub', followed by heading_2 '🚀 Latest Updates' with a callout (yellow_background, icon '📅') containing: 'Last review: [today's date] | Next review scheduled: [30 days from today]'. Add heading_2 '📐 Design Principles' with a numberedList: '1. Consistency across all products', '2. Accessibility as a priority', '3. Mobile-first approach', '4. Performance optimization', '5. Scalable component architecture'. Finally, add a bookmark to the moved 'Core Design Assets' page with caption 'Access all design resources'.","All original child pages are moved under new 'Core Design Assets' sub-page. Main page has new structure with exact headings, yellow callout with dates, numbered principles list, and bookmark to the new sub-page.",✅,✅,,reorganize-design-system-page-v2,,
Anthony,"In the 'Sprint Planning - January 15, 2024' page, add sophisticated meeting analytics. After the 'Action Items' section, before any existing to-dos, insert heading_3 '⏱️ Time Allocation'. Add a callout with gray_background and '📊' icon containing: 'Meeting duration: 90 minutes'. Below, add a numbered list: '1. Attendee introductions: 5 minutes', '2. Sprint goal discussion: 30 minutes', '3. Task breakdown: 40 minutes', '4. Action item assignment: 15 minutes'. Then find all to-do blocks on the page, and add a new paragraph after the numbered list: 'Action items assigned: [count] total, [checked count] completed ([percentage]%)'. The formatting must exactly match the existing page style.",Verify Time Allocation heading_3 appears right after Action Items heading_2. Check the gray callout contains exact text with '📊' icon. Confirm the numbered list has all 4 items with exact times. Verify the paragraph shows accurate counts of todos and completion percentage.,✅,✅,,add-meeting-analytics-to-sprint-planning-v2,,
Anthony,"On the 'Project Guidelines & Best Practices' page, perform a complex reorganization. First, identify all callout blocks with yellow_background (💡 Tips). Create a new heading_2 '💡 Quick Tips Reference' immediately after the main page heading. Move ALL yellow background callouts to appear directly under this new heading, maintaining their original order. Then, find all red_background callouts (🚨 Critical) and move them to appear immediately after the yellow callouts section. Add a divider block between the yellow and red callout groups. Finally, at the end of the reorganized tips section (after all moved callouts), add a paragraph with italic text 'Tips reorganized on [today's date] - Yellow tips: [X], Critical warnings: [Y]' where X and Y are the counts.",Verify new '💡 Quick Tips Reference' heading appears right after main heading. Check all yellow callouts are grouped together under new heading in original order. Confirm red callouts follow yellow ones with a divider between groups. Verify the italic summary paragraph has correct counts and today's date.,✅,✅,,reorganize-project-guidelines-callouts-v2,,
Anthony,"Navigate to the 'Team Directory' page and create an enhanced contact system. First, locate all image blocks (which represent team photos). For each image block, add a callout immediately after it with blue_background and icon '👤' containing a heading_3 'Contact Information' followed by a bulleted list with template items: '• Email: [pending]', '• Slack: @[pending]', '• Department: [pending]'. Then, at the beginning of the page (after main heading but before first image), add a heading_2 '🔍 Quick Find' followed by a numbered list of all team members (assuming one image per person) with format '[number]. Team Member [number] - See details below'. Finally, add a divider at the very end followed by a paragraph with italic text 'Directory last updated: [today's date] | Total team members: [X]' where X is the count of image blocks.",Verify each image block has blue callout with exact contact template immediately after. Check Quick Find section appears at top with numbered list matching image count. Confirm italic paragraph at end shows today's date and correct team member count.,✅,❌,nested callout,team-directory-contact-system-v2,,
Anthony,"In the 'Engineering Wiki' page, reorganize content by first moving any existing heading_2 sections that contain 'API' or 'Architecture' in their titles to appear immediately after the main heading. Then add a new section at the very beginning (after the title but before any other content) with heading_2 '🚀 Quick Navigation', followed by a callout with gray_background containing heading_3 'Popular Pages' and a numbered list: '1. 📖 API Documentation', '2. 🏗️ System Architecture', '3. 🔧 DevOps Guide', '4. 📚 Best Practices'. After the callout, add a divider and then a paragraph with bold text: '**This wiki contains technical documentation for all engineering teams.**'","Any sections with API or Architecture in titles now appear at the top after the main heading. The Quick Navigation section is the first content after the title, containing the gray callout with the exact numbered list, followed by a divider and the bold paragraph.",✅,❌,nested callout,engineering-wiki-reorganization-v2,,
Anthony,"On the 'Getting Started' page, perform a comprehensive update. First, in the 'Quick Start Checklist' section, find all unchecked todo items and add a red color property to them. For each unchecked todo, insert a callout block immediately below it with red_background and icon '❗' containing: 'Action required: This task is essential for onboarding completion.' Then, after the 'Key Features' section, add a new heading_2 '🎯 Completion Status' followed by a paragraph with bold text: 'Checklist completion: [X] of [Y] tasks ([Z]%)' where X is checked todos, Y is total todos, and Z is the percentage. Finally, add an image block at the very end with URL 'https://acmecorp.com/images/welcome-banner.png'.",All unchecked todos must have red color and a red callout below them with exact text. A new Completion Status section must show accurate todo statistics. An image block with the specified URL must appear at the page end.,✅,✅,,getting-started-comprehensive-update-v2,,
Anthony,"Create a page titled '🏢 Workspace Overview Dashboard' at the root level (no parent). Fetch and analyze the 'Engineering Wiki', 'Design System', 'Team Directory', and 'Onboarding Guide' pages. Structure the dashboard with heading_1 '🏢 Workspace Overview Dashboard', then heading_2 '📈 Page Statistics'. For each analyzed page, create a heading_3 with format '[ICON] [TITLE]' using the page's actual icon and title. Under each, add a callout with gray_background showing 'Status: [Published/Private] | Favorited: [Yes/No] | Collaborators: [COUNT]' based on the page's metadata. End with heading_2 '📊 Summary' and a paragraph 'Total published pages: [X] of [Y] analyzed'.","Dashboard page exists at root level with exact title. Each analyzed page section uses the page's actual icon and title in heading_3. Callouts show accurate status, favorite status, and collaborator counts. Summary shows correct published count.",✅,✅,,workspace-overview-dashboard-v2,,
Anthony,"On the 'Getting Started' page, create an enhanced onboarding experience. Locate the 'Quick Start Checklist' section and immediately AFTER the last todo item ('Share a page with a teammate') but BEFORE the 'Key Features' heading, insert new content. Add a divider, then heading_3 '🎓 Advanced Setup Tasks' with four new todo blocks: '🔧 Configure workspace settings', '🎨 Customize page templates', '📱 Install mobile app', '🔌 Set up integrations'. All should be unchecked. Then find the 'Key Features' section and after the last bulletedList item, add a callout (green background, ✨ icon) with exact text: 'Pro tip: Complete all checklist items to unlock advanced features!'. Finally, at the very end of the page, add a heading_2 '📈 Onboarding Progress' and a paragraph showing: 'Basic tasks completed: [X] of [Y] ([Z]%)' where X,Y,Z are calculated from the original checklist items only.",Confirm new section appears after 'Share a page with a teammate' but before 'Key Features'. Verify four new unchecked todos with exact emoji and text. Check green callout appears after 'Real-time collaboration' bullet. Ensure progress shows 'Basic tasks completed: 2 of 4 (50%)' based on original todos only.,✅,✅,,getting-started-enhanced-onboarding-v2,,
Anthony,"Transform 'Company Handbook' into a dynamic navigation hub. Add this exact structure: heading_1 '📘 Company Handbook', paragraph 'Your guide to company policies, procedures, and culture.', heading_2 '🗂️ Handbook Sections', then create four heading_3 blocks: '👥 People & Culture', '📋 Policies & Procedures', '🛠️ Tools & Resources', '📚 Learning & Development'. Under each h3, add a bulletedList with 2-3 placeholder items like 'Code of conduct', 'Vacation policy', etc. After all sections, add heading_2 '🔍 Quick Links' and analyze the workspace to add bookmark blocks to: Engineering Wiki, Onboarding Guide, Team Directory, Project Documentation. Each bookmark should note if the page is published. End with a callout (purple background, 💡 icon): 'Tip: Use Cmd/Ctrl+K to quickly search handbook content.'",Check exact heading structure and intro text. Verify four h3 sections each with 2-3 bullet items. Confirm Quick Links section has bookmarks to specified pages. Ensure bookmarks indicate which pages are published. Verify purple callout with lightbulb and keyboard shortcut tip.,✅,✅,,company-handbook-navigation-hub-v2,,
Anthony,"Access the 'Project Documentation' page and all its sub-pages. Create a comprehensive 'Documentation Health Check' page as a sibling to 'Project Documentation'. Structure it with: heading_1 '🏥 Documentation Health Check', heading_2 '📊 Coverage Analysis', paragraph 'Documentation tree depth: [DEPTH]' where DEPTH is the maximum nesting level found. Add heading_2 '📁 Section Breakdown' and for each direct child of 'Project Documentation', add a heading_3 with the page title and icon, followed by a bulleted list showing 'Sub-pages: [COUNT]' and 'Last updated: [DATE]'. End with a callout (purple_background, icon '📈') containing 'Total documentation pages: [TOTAL]' where TOTAL includes all pages in the hierarchy.","Verify that: 1) Page created as sibling (same parent) as 'Project Documentation', 2) Tree depth calculation is correct based on page hierarchy, 3) Each direct child section lists accurate sub-page count, 4) Purple callout with 📈 icon shows correct total page count including all nested pages, 5) Last updated dates are pulled from actual page metadata",✅,✅,,documentation-health-check-v2,,
Anthony,"Navigate to the 'Getting Started' page. In the 'Quick Start Checklist' section, find the divider (if any) or the end of the todo items. Insert immediately after the last todo but before any following content: a new paragraph with bold text '**Progress: [X] of [Y] tasks completed ([Z]%)**' where X, Y, Z are calculated from the todos above. Then add a callout with green_background and '🎉' icon if all todos are checked, or yellow_background with '🚀' icon if not, containing text 'Status: [All done! Time to explore advanced features|Keep going! You're making great progress]'. After the 'Key Features' section, add a new heading2 '🔗 Related Resources' with a bookmark block pointing to 'https://docs.example.com/advanced' with caption 'Advanced Documentation'.","In the Quick Start Checklist section, after the todos, there's a bold paragraph showing accurate completion stats. The callout below has correct color/icon/text based on whether all todos are checked (green/🎉/All done message) or not (yellow/🚀/Keep going message). After Key Features section, there's a new '🔗 Related Resources' heading2 with a bookmark block to the specified URL with the exact caption.",✅,✅,,getting-started-resources-v2,,
Anthony,"Create a comprehensive 'Engineering Standards' page as a child of 'Engineering Wiki'. Structure it with: heading1 '🏗️ Engineering Standards', then heading2 '📋 Code Review Checklist' followed by exactly 5 unchecked to-do blocks: '✅ Tests pass and coverage > 80%', '🔍 Code follows style guide', '📖 Documentation updated', '🔐 Security considerations addressed', '⚡ Performance impact assessed'. Add heading2 '🎯 Definition of Done' with a numbered list: '1. Code reviewed by 2+ engineers', '2. All tests passing', '3. Documentation complete', '4. Deployed to staging'. End with an image block using URL 'https://example.com/engineering-workflow.png' with caption 'Standard development workflow'.",Page must be child of 'Engineering Wiki'. All 5 to-do blocks must be unchecked with exact text and emojis. The numbered list must use numberedList blocks with exact text. The image must have the specified URL and caption.,✅,✅,,engineering-standards-v2,,
Anthony,"Perform a complex reorganization of the 'Project Roadmap' page and its sub-pages. First, on the main Project Roadmap page, add a new heading2 '📅 Quarterly Summary' immediately after the main description but before the quote. Under this heading, fetch key data from Q1 and Q2 Goals sub-pages and create two callout blocks: First callout with green_background if Q1 has >50% todos checked (otherwise yellow_background) showing 'Q1 2024: [X]% complete - [first unchecked todo text or ""All tasks completed""]'. Second callout with similar logic for Q2. Then create a new sub-page under Project Roadmap titled 'Q3 Goals' with heading2 'Q3 2024 Objectives' and three unchecked todos: 'Scale infrastructure for 10x growth', 'Launch enterprise features', 'Achieve SOC2 compliance'.",Quarterly Summary must be positioned before the quote. Callout colors must reflect actual completion rates. Callout text must show real percentages and first unchecked todo or completion message. Q3 Goals page must be created with exact todos.,✅,✅,,project-roadmap-reorganization-v2,,
Anthony,"On the 'Design System' page, create a comprehensive color palette reference. If the page has no content, add heading_1 'Design System'. At the end of any existing content (or after the heading if empty), add a divider then heading_2 '🎨 Color Palette Standards'. For each Notion callout background color, create a callout demonstrating it: First, yellow_background with icon '🟡' and text 'Primary: Warning/Attention', then orange_background with '🟠' and 'Secondary: Important/Caution', then red_background with '🔴' and 'Danger: Critical/Error', then green_background with '🟢' and 'Success: Completed/Approved', then blue_background with '🔵' and 'Info: Neutral/Informational', then purple_background with '🟣' and 'Accent: Special/Featured', and finally gray_background with '⚫' and 'Subtle: Secondary/Disabled'. After all callouts, add a paragraph: 'Use these color standards consistently across all documentation to maintain visual hierarchy and meaning.'","Must create exactly 7 callouts in the specified order, each with the correct background color, matching colored circle emoji, and precise descriptive text. Final paragraph about consistency must appear after all callouts.",✅,✅,,design-system-color-palette-v2,,
Anthony,"Navigate to the 'External Resources & Links' page and enhance it with a comprehensive link validation report. After the 'Tools' heading (but before any tool bookmarks), insert a new heading3 '🔍 Resource Overview'. Add a callout (blue_background, icon '📊') containing 'Total external resources: [COUNT] | Last audit: [TODAY'S DATE]'. Then create a heading3 '📈 Resources by Category' with a bulleted list showing counts for each section. After the existing bookmarks, add a divider followed by heading2 '🔗 Quick Reference Matrix'. Create a numbered list where each item follows the format: '[NUMBER]. [Bookmark Title] - [URL Domain] ([Section Name])'. For example: '1. React Documentation - react.dev (Documentation)'. Finally, add a callout (green_background, icon '✅') with text 'All links verified and organized for easy access.'","Verify: 1) Resource Overview appears after Tools heading with correct count, 2) Blue callout shows today's date, 3) Category counts are accurate, 4) Quick Reference Matrix lists all bookmarks with correct format, 5) Each entry shows title, domain, and section, 6) Green callout appears at end",✅,✅,,external-resources-link-report-v2,,
Anthony,"In the 'Feature Requests' page, implement a voting system visualization and reorganize content. First, move the 'Community Suggestions' section to appear immediately AFTER the main description paragraph but BEFORE 'High Priority'. Then, in the High Priority section, after each to-do item, add a paragraph in italic text showing vote counts: for 'Dark mode support' add '_Votes: 1,234 users_', for 'Keyboard shortcuts customization' add '_Votes: 987 users_', for 'Export to PDF functionality' add '_Votes: 756 users_'. Next, add a new section at the very end of the page: divider, heading_2 '📊 Feature Request Analytics', then a callout (purple_background, icon '📈') with text 'Total feature requests: 6 | Total votes: 3,421 | Average votes per feature: 570'. Finally, add an image block with URL 'https://charts.company.com/feature-votes.png' and caption 'Feature request trends - Q4 2023'.","Verify Community Suggestions section is relocated after description, each High Priority todo has an italicized vote count paragraph immediately following it, the Analytics section appears at page end with exact counts in the purple callout, and includes the image with specified URL and caption.",✅,✅,,feature-requests-voting-system-v2,,
Anthony,"On the 'Engineering Wiki' page, add a detailed 'API Endpoints' section with precise formatting. Insert this new content immediately AFTER any existing numbered lists but BEFORE any heading_2 blocks. Structure as: heading_2 '🔌 API Endpoints', then heading_3 '🟢 Public Endpoints', followed by a code block with language 'javascript' containing exactly: 'GET /api/v1/users\nGET /api/v1/products\nGET /api/v1/search'. Add a paragraph 'Rate limit: 100 requests per minute'. Then add heading_3 '🔒 Protected Endpoints', another code block with language 'javascript' containing: 'POST /api/v1/users\nPUT /api/v1/users/:id\nDELETE /api/v1/products/:id'. Below this, add a callout with red_background, icon '🔐', text 'Authentication required: Bearer token must be included in Authorization header.'","API Endpoints section appears in the correct position, contains two h3 subsections with code blocks using javascript language, includes rate limit paragraph, and ends with red authentication callout.",✅,✅,,engineering-wiki-api-endpoints-v2,,
Anthony,"On the 'Meeting Notes' page, add a comprehensive meeting index. First, count all child pages that contain 'Sprint' in their title. At the beginning of the Meeting Notes page (after the title but before any existing content), add a heading_2 '📅 Meeting Quick Stats' with a paragraph: 'Total meetings documented: [X]' where X is the total number of child pages. Add another paragraph: 'Sprint-related meetings: [Y]' where Y is the count of pages with 'Sprint' in the title. Then add a divider, followed by heading_2 '🏷️ Meeting Categories'. Create heading_3 '🔄 Sprint Meetings' and list all pages with 'Sprint' in the title as a numbered list with format: '[number]. [icon] [title] - [createdAt date]'. Add another heading_3 '📝 Other Meetings' and list remaining child pages in the same format. End with a callout having green_background and icon '✅' containing: 'All meetings are properly categorized and indexed.'",The Quick Stats must show accurate counts of total child pages and Sprint meetings. Each meeting must be listed under the correct category with its icon and creation date. The page must start with the stats section and end with the green callout. No child pages should be omitted or duplicated.,✅,✅,,meeting-notes-index-v2,,
Anthony,"Create a 'Deployment Readiness Dashboard' as a child page under 'Deployment Guide'. First fetch the 'CI/CD Pipeline' page (child of Deployment Guide) and analyze its content. Structure the dashboard with: heading_1 '🚀 Deployment Readiness Dashboard', heading_2 '⚡ Pipeline Status' with content extracted from CI/CD Pipeline page - count all todo blocks and create a paragraph 'Pipeline tasks: [X] completed, [Y] pending ([Z]% ready)'. Add heading_2 '🔒 Security Checklist' with five new todo blocks (all unchecked): '☐ Security scan passed on latest build', '☐ Secrets rotation completed', '☐ Access controls reviewed', '☐ Backup procedures tested', '☐ Rollback plan documented'. Then add heading_2 '📋 Pre-Deployment Verification' with a numbered list: '1. Code freeze status: [Add callout with yellow_background ""⏸️ Code freeze active"" if today is Friday-Sunday, otherwise green_background ""✅ Deployments allowed""]', '2. Team availability: [Add paragraph ""Ensure 2+ engineers on-call""]', '3. Monitoring alerts: [Add paragraph ""All dashboards green""]'. Finally, add heading_2 '🎯 Go/No-Go Decision' with a callout that has red_background and text '🛑 NOT READY for deployment' if pipeline ready % < 80 OR any security todo would be unchecked OR today is weekend, otherwise green_background with text '✅ READY for deployment'.","Verify dashboard exists under Deployment Guide, check pipeline status calculations from CI/CD Pipeline page data, confirm all security checklist todos exist with exact text, validate code freeze logic based on day of week, verify Go/No-Go decision logic considers all three conditions correctly",✅,✅,,deployment-readiness-dashboard-v2,,
Anthony,"Navigate to 'Comprehensive Product Requirements Document' page. This page has many sections with 'Overview' headings at different levels. Perform these precise edits: 1) Find the heading3 'Overview - Part 2' and the paragraph immediately following it that starts with 'Detailed description for Overview part 2'. Insert a callout between this heading and paragraph with orange_background, icon '🔔', text 'Critical: This section requires stakeholder approval before implementation'. 2) Locate all bulletedList items that contain 'Key point 2' and update their text to '⭐ Key point 2 for [SECTION]' where [SECTION] is the heading2 text that precedes them. 3) After the last 'Overview - Part 3' section, add a new heading2 'Implementation Roadmap' with a divider above it. Under this new heading, add three todo blocks: '📅 Technical design review - Week 1', '🛠️ Development sprint - Weeks 2-4', '✅ QA and deployment - Week 5'.","Verify: 1) Orange callout positioned exactly between 'Overview - Part 2' heading and its first paragraph, 2) All 'Key point 2' bullets updated with star emoji and section name, 3) Divider, then Implementation Roadmap heading after Part 3, 4) Three todos with exact text and emojis.",✅,✅,,prd-callout-implementation-roadmap-v2,,
Anthony,"On the 'Comprehensive Product Requirements Document' page, perform surgical content modifications. Locate the 'User Stories - Part 2' heading_3 (block-47-28) and insert a new warning section immediately BEFORE it. Add a callout block with red_background and '⚠️' icon containing 'Critical: User stories in this section require stakeholder approval before implementation'. Then find all paragraph blocks that start with 'Detailed description' and add a to-do block immediately AFTER each one with text '✅ Technical feasibility confirmed'. These todos should all be unchecked. Next, navigate to the 'Technical Requirements' section and add a new subsection immediately after the heading: add heading_3 'Performance Requirements', followed by a numbered list with exactly: '1. Page load time < 3 seconds', '2. API response time < 200ms', '3. 99.9% uptime SLA', '4. Support 10,000 concurrent users'. Finally, at the very beginning of the page (after the main title but before 'Overview'), insert a callout with gray_background and '📋' icon containing 'Last technical review: [today's date] - Next review scheduled in 30 days'.","The page should have a gray callout at the top with today's date, a red warning callout before 'User Stories - Part 2', 6 new unchecked to-do blocks after 'Detailed description' paragraphs, and a new Performance Requirements section with 4 numbered items under Technical Requirements.",✅,✅,,prd-surgical-modifications-v2,,
Anthony,"On the 'Comprehensive Product Requirements Document' page, add a new 'Technical Specifications' section precisely between the last 'Overview - Part 3' subsection (after its bullet points) and before the next major section. Structure it with: heading2 '🔧 Technical Specifications', then heading3 '⚡ Performance Requirements' with a numbered list: '1. Page load time < 2 seconds', '2. API response time < 200ms', '3. 99.9% uptime SLA'. Add heading3 '🔒 Security Requirements' with callout (red_background, icon '🛡️', text 'All data must be encrypted at rest and in transit'). Then heading3 '📱 Platform Support' with a bulleted list exactly matching the format of existing bullet points in Overview sections but with content: '• Web: Chrome 90+, Safari 14+, Firefox 88+', '• Mobile: iOS 14+, Android 10+', '• API: REST and GraphQL endpoints'.","Verify the Technical Specifications section appears exactly after Overview Part 3's bullet points. Check all three heading3 subsections exist with correct emojis. Confirm numbered list formatting for performance, callout properties for security, and bullet format matching existing patterns for platform support. Verify all exact text content matches.",✅,✅,,prd-technical-specifications-v2,,
